;UUID;Protokoll;URL
0;88ec92d4-409f-40ee-9c46-83aa4fb992aa;WWW:LINK;https://www.bafu.admin.ch/bafu/de/home/themen/biodiversitaet/dossiers/herdenschutz-schweiz.html
1;88ec92d4-409f-40ee-9c46-83aa4fb992aa;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/zustand/daten/geodaten/biodiversitaet--geodaten.html
2;88ec92d4-409f-40ee-9c46-83aa4fb992aa;CHTOPO:specialised-geoportal;https://map.geo.admin.ch
3;88ec92d4-409f-40ee-9c46-83aa4fb992aa;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bafu.alpweiden-herdenschutzhunde/data.zip
0;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;WWW:LINK;https://www.blw.admin.ch/blw/de/home/instrumente/kennzeichnung/berg-und-alp.html
1;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.blw.bergprodukte/data.zip
2;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=blw&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbe
4;c5bc9d6b-cafb-4617-97d7-868ab4cd5506;ESRI:REST;https://api3.geo.admin.ch
0;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;WWW:LINK;https://www.blw.admin.ch/blw/de/home/instrumente/kennzeichnung/berg-und-alp.html
1;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.blw.alpprodukte/data.zip
2;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;CHTOPO:specialised-geoportal;https://map.geo.admin.ch/?topic=blw&lang=de&bgLayer=ch.swisstopo.pixelkarte-farbehttp://map.blw.admin.ch/
4;843b3f48-ec98-4143-b9e6-1db1ad6ddac0;ESRI:REST;https://api3.geo.admin.ch
0;1b48774e-1047-4e8f-b743-769a2b3901cb;WWW:LINK;https://www.bafu.admin.ch/amphibienlaichgebiete
1;1b48774e-1047-4e8f-b743-769a2b3901cb;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bafu.bundesinventare-amphibien/data.zip
2;1b48774e-1047-4e8f-b743-769a2b3901cb;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;1b48774e-1047-4e8f-b743-769a2b3901cb;WWW:DOWNLOAD-URL;https://www.bafu.admin.ch/bafu/de/home/zustand/daten/geodaten/biodiversitaet--geodaten.html
4;1b48774e-1047-4e8f-b743-769a2b3901cb;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;2a701f93-3bd3-4068-a6a8-59d7383a3b30;WWW:LINK;http://www.bafu.admin.ch/amphibienlaichgebiete
1;2a701f93-3bd3-4068-a6a8-59d7383a3b30;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bafu.bundesinventare-amphibien_anhang4/data.zip
2;2a701f93-3bd3-4068-a6a8-59d7383a3b30;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
0;36a55486-04be-4533-9936-9c05407114a1;WWW:LINK;https://www.bafu.admin.ch/amphibienlaichgebiete
1;36a55486-04be-4533-9936-9c05407114a1;WWW:DOWNLOAD-URL;http://data.geo.admin.ch/ch.bafu.bundesinventare-amphibien_wanderobjekte/data.zip
2;36a55486-04be-4533-9936-9c05407114a1;OGC:WMS;http://wms.geo.admin.ch/?SERVICE=WMS&VERSION=1.3.0&REQUEST=GetCapabilities&lang=de
3;36a55486-04be-4533-9936-9c05407114a1;WWW:DOWNLOAD-URL;http://www.bafu.admin.ch/geodaten
4;36a55486-04be-4533-9936-9c05407114a1;CHTOPO:specialised-geoportal;http://map.bafu.admin.ch
