;concept-cat_id;de;fr;it;en;all_nr;all_pub_unpub;harvested_nr (valid=-1)
http://custom.shared.obj.ch/concept#dd6b4072-a1c1-41d7-97fe-8b6978abe825;dd6b4072-a1c1-41d7-97fe-8b6978abe825;Kulturfläche;surfache cultivée;superficie coltivata;cultivated area;9;10;1
http://geocat.ch/concept#171;171;Landwirtschaftsgebiet;région agricole;regione agricola;agricultural region;4;5;0
http://custom.shared.obj.ch/concept#963fd8a2-b11f-461c-aa6e-d1952f2c9e8c;963fd8a2-b11f-461c-aa6e-d1952f2c9e8c;Trockenwiesen und -weiden TWW;prairies et pâturages secs PPS;prati e pascoli secchi PPS;dry grasslands DGS;3;3;0
http://custom.shared.obj.ch/concept#f9b04274-5404-404a-8ac2-2a0ac988b4dc;f9b04274-5404-404a-8ac2-2a0ac988b4dc;Erhaltungsplanung;étude de conservation;studio di conservazione;conservation planning;1;2;1
http://geocat.ch/concept#173;173;Landwirtschaftszone;zone agricole;zona agricola;agricultural zone;10;14;2
http://custom.shared.obj.ch/concept#a5b230bc-a724-4a87-948f-42f8f9f6e064;a5b230bc-a724-4a87-948f-42f8f9f6e064;Bewilligungspflicht;obligation d'autorisation;obbligo dell'auorizzazione;requirement of authorisation;2;2;0
http://geocat.ch/concept#24;24;Baulinie;alignement;linea di edificazione;building line;314;333;5
http://geocat.ch/concept#179;179;LIDAR (Light Detection And Ranging);LIDAR (Light Detection And Ranging);LIDAR (Light Detection And Ranging);LIDAR (Light Detection And Ranging);34;34;0
http://custom.shared.obj.ch/concept#07361d35-ab49-41b8-84c4-483e5b27763f;07361d35-ab49-41b8-84c4-483e5b27763f;Römische Epoche;époque romaine;epoca romana;roman age;12;13;0
http://geocat.ch/concept#177;177;Laserscanning;laserscanning;laserscanning;laserscanning;17;17;0
http://geocat.ch/concept#314;314;Waldstandort;station forestière;stazione forestale;forest site;12;12;0
http://geocat.ch/concept#176;176;Lärmempfindlichkeitsstufe;degré de sensibilité au bruit;livello di sensibilità al rumore;noise sensitivity level;112;112;0
http://geocat.ch/concept#9;9;Alpwirtschaft;économie alpestre;economia alpestre;alpine economy;10;10;0
http://custom.shared.obj.ch/concept#bd5fb23a-002a-4fec-b23e-aeb6e23c42c4;bd5fb23a-002a-4fec-b23e-aeb6e23c42c4;1G-E (OneGeology-Europa);1G-E (OneGeology-Europe);1G-E (OneGeology-Europa);1G-E (OneGeology-Europe);2;2;0
http://geocat.ch/concept#174;174;Langsamverkehr;trafic non motorisé;traffico lento;human-powered mobility;56;59;8
http://custom.shared.obj.ch/concept#dac85a16-5646-4497-94d9-f3c665731ecd;dac85a16-5646-4497-94d9-f3c665731ecd;Kunstbau;ouvrage d'art;opera di costruzione;art construction;4;4;0
http://www.geocat.ch/concept#fecf7e7f-ac9c-4791-b1a7-adf9ec61b86c;fecf7e7f-ac9c-4791-b1a7-adf9ec61b86c;Klettergebiet;zone d'escalade;area di arrampicata;climbing area;1;1;0
http://custom.shared.obj.ch/concept#aa321bbb-dab3-4cca-b081-0cb9f1880f39;aa321bbb-dab3-4cca-b081-0cb9f1880f39;Messstelle;endroit de mesurage;posizione di misura;point of mesurement;1;1;0
http://geocat.ch/concept#282;282;Tram;tramway;tram;tramway;2;2;0
http://custom.shared.obj.ch/concept#c11ba4bc-5f9c-4871-a6ca-a9b4183f50d6;c11ba4bc-5f9c-4871-a6ca-a9b4183f50d6;Mittelschule;école secondaire;scuola secondaria;secondary school;1;1;0
http://geocat.ch/concept#331;331;Zonenplan;plan de zones;piano delle zone;zoning plan;456;493;7
