;number;layer;TECHPUBLAYERNAME;uuid
243;244;ch.bafu.oekomorphologie-f_abschnitte (Ökomorphologie F - Abschnitte);ch.bafu.oekomorphologie-f_abschnitte;ea12e280-75cf-4b71-90f0-d2bcc9d7fdfa
244;245;ch.bafu.oekomorphologie-f_abstuerze (Ökomorphologie F - Abstürze);ch.bafu.oekomorphologie-f_abstuerze;1ec44d95-573a-489c-9a57-7bc278cc6792
245;246;ch.bafu.oekomorphologie-f_bauwerke (Ökomorphologie F - Bauwerke);ch.bafu.oekomorphologie-f_bauwerke;5742b03b-d567-4acb-a84d-a3069faaa396
246;247;ch.bafu.permafrost (Permafrosthinweiskarte);ch.bafu.permafrost;71d087ef-6531-4131-98ea-88ff655d8a63
247;248;ch.bafu.ren-extensive_landwirtschaftsgebiete (REN Extensives Landwirtschaftsgebiet);ch.bafu.ren-extensive_landwirtschaftsgebiete;d60ff6a8-4b80-4535-aa89-cfad26916b80
248;249;ch.bafu.ren-feuchtgebiete (REN Feuchtgebiet);ch.bafu.ren-feuchtgebiete;8bc1565a-023e-490c-9526-fa04a14169ab
249;250;ch.bafu.ren-fliessgewaesser_seen (REN Fliessgewässer / Seen);ch.bafu.ren-fliessgewaesser_seen;32dfd304-28de-4e82-ad8d-8d6cb6b5fe83
250;251;ch.bafu.ren-trockenstandorte (REN Trockenstandort);ch.bafu.ren-trockenstandorte;b5f7374b-2f4b-4d28-a23c-eb2d2a64b579
251;252;ch.bafu.ren-wald (REN Wald);ch.bafu.ren-wald;a193df6d-071c-4a1d-bb64-0921cc916f2f
252;253;ch.bafu.schutzgebiete-aulav_auen (Auengebiete AuLaV);ch.bafu.schutzgebiete-aulav_auen;54d007ed-2ab9-4cb3-9b41-b3c74a519eae
253;254;ch.bafu.schutzgebiete-aulav_jagdbanngebiete (Jagdbanngebiete AuLaV);ch.bafu.schutzgebiete-aulav_jagdbanngebiete;e3cf990a-23d5-4876-b279-206f9eb5f4c9
254;255;ch.bafu.schutzgebiete-aulav_moorlandschaften (Moorlandschaften AuLaV);ch.bafu.schutzgebiete-aulav_moorlandschaften;947f9c40-eef0-497a-90f2-9acf59a25f0c
255;256;ch.bafu.schutzgebiete-aulav_uebrige (Übrige Schutzgebiete AuLaV);ch.bafu.schutzgebiete-aulav_uebrige;3e13af56-e32b-4092-a6eb-2adb6d3967cb
256;257;ch.bafu.schutzgebiete-biosphaerenreservate (Biosphärenreservate);ch.bafu.schutzgebiete-biosphaerenreservate;c212a19c-6e06-4ca4-bdee-3ec62ccd7b1e
257;258;ch.bafu.schutzgebiete-luftfahrt (Schutzgebiete MIL);ch.bafu.schutzgebiete-luftfahrt;c3f513a7-f860-4894-a139-6218a9697519
258;259;ch.bafu.schutzgebiete-paerke_nationaler_bedeutung (Schweizer Pärke (Zonierung));ch.bafu.schutzgebiete-paerke_nationaler_bedeutung;b1fb8e29-8387-4081-9976-022ff925823b
